name,price
Makita P90196 Drill Bit And Screw Driver Bit Set Of 26 Pieces,1858.89
"Makita DDF481Z 18v Lithium-Ion Cordless Driver Drill, Brushless, W/Out Battery",85.0
"Black+Decker 12V 1.5Ah 900 RPM Cordless Drill Driver with 13 Pieces Bits in Kitbox For Drilling and Fastening, Orange/Black - LD12SP-B5, 2 Years Warranty",981.05
Makita D58833 Ratchet Screwdriver PH2 25mm,159.0
Makita D-21325-14 Pcs. Bits for SDS-Plus,225.0
Makita D-36980 D36996 Maccess Accessories Set 34pcs,16.5
Makita B-66020 Screw driver SL4.0 (4X100 ),30.8
"Makita D-07565 ACC Auger Drill Bit, 450 mm Length x 10 mm Diameter",98.0
"Makita Cordless Drill, 18 V, 50/25 Nm, 1.7 Kg, Led, Brushless, Ddf485Z",10.0
Makita P52065 Technicians Pouch Drill and Screwdriver Bit Set (79 Pieces),36.29
"Makita Brushless/Cordless Hammer Drill, 18 V, 50/25 Nm, 1,7kg, LED, DHP485Z",947.0
Makita B-65947 Screw driver PZ1 (#1X80),290.0
Makita DHP483RFJ 18V Li-Ion Hammer Drill,13.0
"Makita DHP484Z 18v Lithium-Ion Cordless Percussion Driver Drill, 13mm, W/Out Battery",12.56
"Makita D-07107 ACC Wood 3point Drill Bit, 155 mm Length",1470.0
"Makita Cordless Drill, 18 V, 62/36 Nm, DDF482Z",510.34
"Black+Decker 18V 1.5Ah 650 RPM Combi Hammer Drill with 2 Batteries in Kitbox for Metal, Wod & Masonry Drilling & Screwdriving/Fastening, Orange/Black - BCD003C2K-GB, 2 Years Warranty",11.93
Makita D30209 Router Bit Starter Set 6mm 3pcs,512.56
"Makita HP457DWE - 18V G-Series Lithium-ion Cordless Percussion Driver Drill, 13mm, with 2 x 18V 1.5Ah Batteries and Charger",399.0
"Makita D-16287/29103 PT ACC SDS Plus Hammer Drill Bit, 16 mm Diameter",62.0
Makita D40216 General Purpose Bit Set 17pcs,29.96
"Makita Cordless Drill, 18 V, 40/23 Nm, BL, DDF083Z",46.0
Makita D20111 SDS-Plus Drill & Chisel 13pcS,407.8
"Makita A-86898 Jigsaw Blades Assortment, Multi-Colour",105.0
Makita B-65757 Box Joint WP plier 240mm,19.0
"Makita Cordless Angle Drill, 18 V, DDA350Z",125.0
"Makita Impact Cordless Screwdriver, 18 V,Li-ion 165 Nm, LED, DTD152Z",723.61
"Black+Decker 650W 115mm Small Angle Grinder with 3 Metal Grinding Discs , Orange/Black - G650MEA1-B5, 2 Years Warranty",242.1
"Makita HR2631FT Combination Hammer Drill with Quick Change Chuck, 26 mm",112.0
"Makita Cordless Drill/Driver (18 V/4.0 Ah, 2 Batteries and Charging Station in Makpack) DDF459RMJ, blue, DDF459RF4J 0W, 18V",125.0
"Makita Glass and Marble Tile Drill Bit with 1/4"" Hex Shank, Feature Drilling Stably,Chip Easily, Opening Neat Smooth, No Broken Edges & Tremor Phenomenon, (6mm Hole)",1209.16
"Makita DHR171Z - 18V Lithium-Ion Cordless Sub-Compact Rotary Hammer, W/Out Battery",1927.04
Makita HR1841F Electric Rotary Hammer Drill 470W 18mm,23.0
Makita D-47363 Forstner Drill Bit Set (5 Pieces),622.61
"MAKITA ELECTRIC LAWNMOWER, 37CM, 1400W, ELM3720",561.55
Makita DBO180Z 18V Li-Ion Orbit Sander W/Out Battery,114.64
"Makita XPH12Z 18V LXT Lithium-Ion Brushless Cordless 1/2"" Hammer Driver-Drill, Tool Only, 18 V, Teal",42.9
Makita E-05234 Hammer and Tool Holder,42.9
Makita HR2600 Electric Rotary Hammer Drill 800W 26mm,589.5
Makita B-65779 Smooth Face Claw Hammer,150.0
